         174136824 function calls (167911824 primitive calls) in 2039.270 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   780000    0.833    0.000    1.249    0.000 rnn.py:198(check_input)
    30000    1.241    0.000    1.241    0.000 {built-in method torch.sort}
    30038    1.238    0.000    1.238    0.000 {built-in method torch.tensor}
    60000    0.056    0.000    1.203    0.000 rnn.py:20(apply_permutation)
    15000    0.046    0.000    1.134    0.000 {method 'mean' of 'numpy.ndarray' objects}
    60000    1.122    0.000    1.122    0.000 {built-in method torch._ops.profiler._record_function_enter}
   855000    0.691    0.000    1.051    0.000 _VF.py:25(__getattr__)
  6839924    1.006    0.000    1.006    0.000 {built-in method torch._C._has_torch_function_unary}
    15000    0.867    0.000    0.867    0.000 {built-in method torch._C._nn.mse_loss}
   780000    0.620    0.000    0.809    0.000 rnn.py:675(get_expected_cell_size)
  3090000    0.779    0.000    0.779    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
    30000    0.224    0.000    0.762    0.000 __init__.py:30(_make_grads)
    45000    0.684    0.000    0.684    0.000 {built-in method torch.ones_like}
  3870000    0.666    0.000    0.666    0.000 {built-in method builtins.issubclass}
    60000    0.306    0.000    0.660    0.000 rnn.py:63(__new__)
  1995000    0.645    0.000    0.645    0.000 {built-in method builtins.hasattr}
    60000    0.192    0.000    0.629    0.000 profiler.py:449(__exit__)
  1560000    0.619    0.000    0.619    0.000 {built-in method torch._C._has_torch_function}
    30000    0.562    0.000    0.562    0.000 {built-in method torch.arange}
  1935000    0.487    0.000    0.487    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    45000    0.408    0.000    0.408    0.000 {built-in method torch.as_tensor}
   570038    0.223    0.000    0.386    0.000 _tensor.py:731(__hash__)
    15000    0.383    0.000    0.383    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
    15076    0.381    0.000    0.381    0.000 {built-in method torch.zeros_like}
    15000    0.376    0.000    0.376    0.000 {built-in method torch.sum}
   885000    0.372    0.000    0.372    0.000 {built-in method builtins.getattr}
    60000    0.359    0.000    0.359    0.000 {built-in method torch._ops.profiler._record_function_exit}
    30000    0.172    0.000    0.349    0.000 optimizer.py:84(_cuda_graph_capture_health_check)
  1920000    0.348    0.000    0.348    0.000 fromnumeric.py:3308(_mean_dispatcher)
    15000    0.328    0.000    0.328    0.000 {built-in method torch.mean}
    15000    0.305    0.000    0.305    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1935000    0.304    0.000    0.304    0.000 {built-in method numpy.asanyarray}
    30000    0.060    0.000    0.279    0.000 grad_mode.py:82(clone)
   569962    0.254    0.000    0.254    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
   570000    0.239    0.000    0.239    0.000 {method 'conj' of 'torch._C._TensorBase' objects}
    15000    0.234    0.000    0.234    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
    30000    0.115    0.000    0.233    0.000 grad_mode.py:131(__enter__)
    30000    0.204    0.000    0.218    0.000 grad_mode.py:126(__init__)
    30000    0.214    0.000    0.214    0.000 {built-in method torch.empty_like}
    15000    0.076    0.000    0.202    0.000 functional.py:44(broadcast_tensors)
    30000    0.100    0.000    0.190    0.000 grad_mode.py:135(__exit__)
    60000    0.152    0.000    0.186    0.000 grad_mode.py:226(__init__)
    30000    0.133    0.000    0.182    0.000 adam.py:198(<listcomp>)
    30000    0.133    0.000    0.147    0.000 functional.py:2390(_verify_batch_size)
    30000    0.146    0.000    0.146    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
    30000    0.059    0.000    0.125    0.000 __init__.py:77(is_available)
   570000    0.116    0.000    0.116    0.000 {built-in method math.sqrt}
   570040    0.110    0.000    0.110    0.000 {built-in method builtins.id}
    60000    0.058    0.000    0.109    0.000 <string>:1(<lambda>)
    15000    0.102    0.000    0.102    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
    15000    0.099    0.000    0.099    0.000 {built-in method torch.broadcast_tensors}
   630000    0.096    0.000    0.096    0.000 {built-in method builtins.len}
    30002    0.075    0.000    0.075    0.000 {method 'format' of 'str' objects}
    30000    0.047    0.000    0.067    0.000 batchnorm.py:296(_check_input_dim)
    30000    0.036    0.000    0.062    0.000 __init__.py:31(__get__)
    60000    0.051    0.000    0.051    0.000 {built-in method __new__ of type object at 0xafa2c0}
    30000    0.043    0.000    0.043    0.000 {built-in method torch._C._cuda_getDeviceCount}
    30000    0.026    0.000    0.041    0.000 graphs.py:18(is_current_stream_capturing)
    90000    0.039    0.000    0.039    0.000 {built-in method torch.is_grad_enabled}
    60000    0.036    0.000    0.036    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
    30000    0.026    0.000    0.026    0.000 {built-in method torch._C._get_cudnn_enabled}
    30000    0.024    0.000    0.024    0.000 __init__.py:77(_tensor_or_tensors_to_tuple)
    30000    0.020    0.000    0.020    0.000 {method 'get' of 'dict' objects}
    45000    0.019    0.000    0.019    0.000 {built-in method torch._C._has_torch_function_variadic}
    60000    0.017    0.000    0.017    0.000 {built-in method torch._C._set_grad_enabled}
    30000    0.015    0.000    0.015    0.000 {built-in method builtins.all}
    30000    0.014    0.000    0.014    0.000 {built-in method torch._C._cuda_isCurrentStreamCapturing}
    15000    0.014    0.000    0.014    0.000 _reduction.py:7(get_enum)
    30000    0.014    0.000    0.014    0.000 _jit_internal.py:958(is_scripting)
    15000    0.009    0.000    0.009    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 _ops.py:188(__getattr__)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._jit_get_operation}
        2    0.000    0.000    0.000    0.000 _builtins.py:158(_register_builtin)
        1    0.000    0.000    0.000    0.000 _ops.py:223(__getattr__)
        2    0.000    0.000    0.000    0.000 _ops.py:73(__init__)
        1    0.000    0.000    0.000    0.000 _ops.py:184(__init__)
        2    0.000    0.000    0.000    0.000 _builtins.py:128(_get_builtin_table)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}


